Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
JKJ817;FRRMNC60A66H703K;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 195;Salerno
JKL763;MRTLCU75D24D643Y;Rete Idrica Nazionale SpA di Matteo Colombo;Corso della Pace, 29;Foggia
JLC137;FNTSLV88L68D704M;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Colombo, 215;Forlì
JLK370;DSNGLI58T07C573O;Sorgenti d'Italia Srl di Roberto Marino;Via del Commercio, 15;Cesena
JNC842;GRCLCU54T58L781I;Sorgenti d'Italia Srl di Roberto Marino;Viale Italia, 31;Verona
JNT658;CSTMRC57R22E625Y;Servizi Idrici del Nord Srl di Stefano Bruno;Viale della Repubblica, 288;Livorno
JOG238;SNTBBR76T48L483W;Acqua & Territorio SpA di Davide Gallo;Via IV Novembre, 217;Udine
JOM204;MRNRRT83D22F839B;Acqua & Territorio SpA di Davide Gallo;Via Roma, 81;Napoli
JOX613;LMBRRT68H47F205O;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 132;Milano
JPA115;MRCSRA63D56F952R;BluFonte Distribuzione SpA di Giovanni Greco;Corso dell'Artigianato, 285;Novara
JQI595;GRSMRA66C45G337K;Idrogest Italia SpA di Paolo De Luca;Corso Garibaldi, 98;Parma
JQQ975;BRNLNZ46R28A271T;Sorgenti d'Italia Srl di Roberto Marino;Via Roma, 236;Ancona
JQU640;CNTRSL97H48F257Q;Idro Distribuzione Italiana SpA di Luca Russo;Via dell'Acquedotto, 131;Modena
JRF133;CNTMTT95H27H501D;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 44;Roma
JRV971;RMNRCR79L23L781Y;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Dante, 108;Verona
JSE466;BRBFBA93B28A390G;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Italia, 88;Arezzo
JSG301;DNGPRZ72H49E625W;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale delle Industrie, 74;Livorno
JUX774;CLMLSN90B59H294R;AcquaPura Italia Srl di Maria Costa;Via San Giovanni, 141;Rimini
JVF083;BRNDNL77H16L781I;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Marconi, 109;Verona
JVH453;RNLVCN70H14C573H;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Colombo, 62;Cesena
JVJ464;RCCGNN95P24G273P;PureFlow Idrica Srl di Alessandro Ricci;Viale Santa Maria, 267;Palermo
JVK432;RMNNRC66M09H501N;Acque del Sud Italia SpA di Elena Giordano;Via Dante, 157;Roma
JVL050;MNTRRT91R44E506I;Cristallina Acque Srl di Giulia Moretti;Viale Nazionale, 11;Lecce
JVT776;DSNGNN75E41E506V;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso del Porto, 285;Lecce
JWM672;LNEPLA62D44F839A;Acque del Sud Italia SpA di Elena Giordano;Via della Costituzione, 54;Napoli
JWO018;FNTSFN97T18C573T;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 239;Cesena
JWO871;GRCGNN76T25D612W;Idro Distribuzione Italiana SpA di Luca Russo;Via Colombo, 191;Firenze
JXG711;CNTVNT48P64L424C;BluFonte Distribuzione SpA di Giovanni Greco;Via della Libertà, 34;Trieste
JXK223;RLNCRN67M68G337E;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale delle Industrie, 267;Parma
JXW992;MRTTRS95R66L049E;Acqua & Territorio SpA di Davide Gallo;Viale Santa Maria, 285;Taranto
JYX631;DLCSRG46D18G535C;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Costituzione, 137;Piacenza
JZG380;DSNGRG76A03E625A;Acque del Sud Italia SpA di Elena Giordano;Corso XX Settembre, 21;Livorno
KAL610;RNLSRA71C56L424V;Sorgenti d'Italia Srl di Roberto Marino;Corso Vittorio Emanuele, 64;Trieste
KBC356;GRDDNL75T28D969Z;Idrogest Italia SpA di Paolo De Luca;Corso dell'Artigianato, 177;Genova
KBE149;GLLNGL87E60A271T;Idroservice Nazionale SpA di Sara Rizzo;Via del Commercio, 111;Ancona
KBM361;BNCRSL60H51F839N;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Marconi, 243;Napoli
KBN528;PNIMSM59D04H199Q;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Cavour, 140;Ravenna
KBY377;RCCNNA72M58H294J;Idrogest Italia SpA di Paolo De Luca;Piazza Mazzini, 25;Rimini
KCQ251;SPSCRN92A53I754H;Sorgenti d'Italia Srl di Roberto Marino;Corso XX Settembre, 20;Siracusa
KDB776;LNGNGL58D54H530H;Cristallina Acque Srl di Giulia Moretti;Via Europa, 285;Reggio Emilia
KDX807;CNTSRG81A19D612B;Idroservice Nazionale SpA di Sara Rizzo;Via della Libertà, 205;Firenze
KEP417;MRCPLA86E07L378Y;BluFonte Distribuzione SpA di Giovanni Greco;Via Roma, 279;Trento
KER612;LMBPRZ80D52A390N;Cristallina Acque Srl di Giulia Moretti;Corso della Pace, 292;Arezzo
KFE272;VTLCML79B60H224Q;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Verdi, 216;Reggio Calabria
KFV848;MNTDNL60E22A271S;Acque Chiare Servizi Srl di Marco Rossi;Corso Cavour, 6;Ancona
KGL827;FNTMRA75P62L840B;Idrogest Italia SpA di Paolo De Luca;Via del Commercio, 132;Vicenza
KIF285;BRNRSL45H51E625R;Sorgenti d'Italia Srl di Roberto Marino;Via Europa, 138;Livorno
KJW565;MRNCRL54S26L424X;Acque Chiare Servizi Srl di Marco Rossi;Viale Nazionale, 236;Trieste
KKI364;GNTLNE96M51F257D;Rete Idrica Nazionale SpA di Matteo Colombo;Via Matteotti, 139;Modena
KKN706;GNTSRA87P47G999T;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 89;Prato
KLR802;GNTLNZ49B15L117D;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso della Pace, 160;Terni
KLT294;RCCLSE45T44H224C;Acque del Sud Italia SpA di Elena Giordano;Corso della Pace, 134;Reggio Calabria
KMW072;RSSFNC94S16D612M;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 237;Firenze
KNH880;CNTLCU69L04L483K;BluFonte Distribuzione SpA di Giovanni Greco;Viale Italia, 197;Udine
KPG395;FRRLNZ95B22G273W;Sorgenti d'Italia Srl di Roberto Marino;Piazza Mazzini, 177;Palermo
KPX713;FRRPLA66B24A271X;PureFlow Idrica Srl di Alessandro Ricci;Viale Leopardi, 103;Ancona
KSA157;SNTRSO67E58D969G;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Nazionale, 137;Genova
KSB463;RCCMSM64E22G224E;Idro Distribuzione Italiana SpA di Luca Russo;Corso della Pace, 54;Padova
KSC221;LNECRN95L68D704D;Idroservice Nazionale SpA di Sara Rizzo;Viale Leopardi, 231;Forlì
KSO238;GRSCRN96S67D643C;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Libertà, 79;Foggia
KSW875;BNCSMN79R09A952X;Acque del Sud Italia SpA di Elena Giordano;Viale della Repubblica, 150;Bolzano
KTC851;SLVGRG97M03F952M;Acque del Sud Italia SpA di Elena Giordano;Via Verdi, 290;Novara
KTT304;GRDMSM66T19A390T;Acqua & Territorio SpA di Davide Gallo;Corso Cavour, 6;Arezzo
KUI795;PNILCU55T16B354L;Cristallina Acque Srl di Giulia Moretti;Viale Santa Maria, 148;Cagliari
KVD667;SPSCHR53C41I452X;Idro Distribuzione Italiana SpA di Luca Russo;Via del Commercio, 93;Sassari
KVL690;RSSSMN55B22A944Q;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Verdi, 125;Bologna
KVR641;RSSGPP75S02H224U;BluAcqua Forniture Srl di Giuseppe Esposito;Via dell'Acquedotto, 47;Reggio Calabria
KWI555;GLLCML75R56A952M;AcquaPura Italia Srl di Maria Costa;Via Colombo, 219;Bolzano
KWW122;CPPRCR51H20E625A;AcquaPura Italia Srl di Maria Costa;Viale Leopardi, 286;Livorno
KWX249;CNTMTT55E13F839E;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Nazionale, 94;Napoli
KYW342;RCCPRZ56S43L483K;Idrogest Italia SpA di Paolo De Luca;Corso Vittorio Emanuele, 6;Udine
KZW989;CPPLSN84B43L781Z;PureFlow Idrica Srl di Alessandro Ricci;Corso dell'Artigianato, 208;Verona
LAB292;CRSRCR96A10G535I;Acque del Sud Italia SpA di Elena Giordano;Via delle Scienze, 244;Piacenza
LAB390;FRRNNA88L46I452S;Idro Distribuzione Italiana SpA di Luca Russo;Viale della Repubblica, 11;Sassari
LAO126;RSSSFN82T14F704C;Cristallina Acque Srl di Giulia Moretti;Via Colombo, 114;Monza
LAP794;CSTMTT50M04L219E;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Italia, 31;Torino
LAZ879;LNERSL91A49A952P;BluFonte Distribuzione SpA di Giovanni Greco;Via Verdi, 295;Bolzano
LBA518;GRCGNN49R20A794K;Fonti Chiare Distribuzione Srl di Laura Mancini;Via Verdi, 219;Bergamo
LBO587;FNTSRA65L47G224D;Acqua & Territorio SpA di Davide Gallo;Via dei Mille, 229;Padova
LCZ504;MNTGRG64A17H530X;BluFonte Distribuzione SpA di Giovanni Greco;Via delle Scienze, 63;Reggio Emilia
LDH259;RNLSRA48E41L840M;Sorgenti d'Italia Srl di Roberto Marino;Via San Giovanni, 250;Vicenza
LDV128;RSSMTT90D03L483X;Idrogest Italia SpA di Paolo De Luca;Corso Cavour, 130;Udine
LFD048;BNCMRC56A13H530O;BluFonte Distribuzione SpA di Giovanni Greco;Viale Italia, 166;Reggio Emilia
LFI997;MRNDVD50A12A794W;Acque del Sud Italia SpA di Elena Giordano;Corso Garibaldi, 141;Bergamo
LFO696;SNTRRT60D05L840X;Acque del Sud Italia SpA di Elena Giordano;Via della Libertà, 125;Vicenza
LGS194;CPPLNZ88T12F257C;Acque Chiare Servizi Srl di Marco Rossi;Viale delle Industrie, 245;Modena
LHD300;MRTLRA85M48C351R;Idroservice Nazionale SpA di Sara Rizzo;Corso Garibaldi, 24;Catania
LIG843;FRRNNA87P60H703I;Sorgenti d'Italia Srl di Roberto Marino;Corso dell'Artigianato, 67;Salerno
LIM857;CNTSLV54A68C573R;Gestione Idrica Integrata SpA di Francesco Bianchi;Via IV Novembre, 189;Cesena
LJE812;BRBSRG91R22G482K;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso dell'Artigianato, 279;Pescara
LKL511;SPSPRZ62H50G478M;PureFlow Idrica Srl di Alessandro Ricci;Via dei Mille, 127;Perugia
LKW438;RMNPRI50M24H703O;Idroservice Nazionale SpA di Sara Rizzo;Via Dante, 155;Salerno
LLP389;FRRSRG62P18G478V;Acque del Sud Italia SpA di Elena Giordano;Via Europa, 105;Perugia
LMA655;MRCRSL70B43L736Y;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso del Porto, 237;Venezia
LMK018;FRRGPP86S18I452Q;BluFonte Distribuzione SpA di Giovanni Greco;Via dell'Acquedotto, 89;Sassari
LOK738;DLCDNL60A10L483G;PureFlow Idrica Srl di Alessandro Ricci;Viale Nazionale, 232;Udine
LON134;DLCGRG50C16A662Z;Rete Idrica Nazionale SpA di Matteo Colombo;Via Colombo, 299;Bari
LPO413;NRENDR95M13C352Y;Sorgenti d'Italia Srl di Roberto Marino;Viale Santa Maria, 179;Catanzaro
LPU258;SNTLNZ52D02L736M;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Roma, 265;Venezia
LRH157;GLLLNE86P58A952S;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso del Porto, 142;Bolzano
LRQ475;GRDFNC69B01E472L;Rete Idrica Nazionale SpA di Matteo Colombo;Via dei Mille, 62;Latina
LSF318;BRNSRG88H05A662W;Sorgenti d'Italia Srl di Roberto Marino;Via Matteotti, 239;Bari
LSZ011;MNTLRA65S63E506L;Idroservice Nazionale SpA di Sara Rizzo;Via dei Mille, 49;Lecce
LUD102;VTLRSO52S62F205H;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale della Repubblica, 151;Milano
LUG242;SPSDNL87R18D704A;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 218;Forlì
LUH570;MRNRRT98E45I452Z;Sorgenti d'Italia Srl di Roberto Marino;Via Dante, 148;Sassari
LVG842;SNTLSN78C67F839U;BluAcqua Forniture Srl di Giuseppe Esposito;Via IV Novembre, 255;Napoli
LVP183;RSSSMN72T03A944F;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso del Porto, 95;Bologna
LWE930;RZZMRA45L65L483S;BluAcqua Forniture Srl di Giuseppe Esposito;Viale delle Industrie, 275;Udine
LWF030;DLCLNZ89E10C352H;Idroservice Nazionale SpA di Sara Rizzo;Corso Garibaldi, 17;Catanzaro
LWH617;MNTFRC68H51G273A;Acque del Sud Italia SpA di Elena Giordano;Viale Santa Maria, 160;Palermo
LYF745;CRSRRT51H43A390H;Idroservice Nazionale SpA di Sara Rizzo;Via Colombo, 62;Arezzo
LYH259;RZZNRC54M11B354H;AcquaPura Italia Srl di Maria Costa;Corso XX Settembre, 9;Cagliari
LYL913;GRCGLI77P22G535U;Acque del Sud Italia SpA di Elena Giordano;Corso XX Settembre, 142;Piacenza
LZG508;RNLRSO54L66L840P;Sorgenti d'Italia Srl di Roberto Marino;Via Colombo, 287;Vicenza
LZI190;MRCLRT56D13I754V;Fonti Chiare Distribuzione Srl di Laura Mancini;Via dell'Acquedotto, 141;Siracusa
LZQ446;PNIMHL86S02G224J;AcquaPura Italia Srl di Maria Costa;Via Dante, 114;Padova
LZW098;GRSCST97B47G999B;Acque Chiare Servizi Srl di Marco Rossi;Viale della Repubblica, 206;Prato
MAS121;RSSMRC55T03F839R;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale Santa Maria, 59;Napoli
MBL867;MRNFNC84E13G273R;Acque Chiare Servizi Srl di Marco Rossi;Viale Nazionale, 132;Palermo
MBQ249;LNGNRC51A18H703R;Servizi Idrici del Nord Srl di Stefano Bruno;Corso XX Settembre, 268;Salerno
MCO857;DLCLRT76T09D704S;BluAcqua Forniture Srl di Giuseppe Esposito;Viale delle Industrie, 151;Forlì
MCZ676;SPSMSM54L08G482N;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via della Libertà, 70;Pescara
MED913;VTLCHR60B50A662M;Cristallina Acque Srl di Giulia Moretti;Via del Commercio, 182;Bari
MFE011;MRTLSE47R42I452G;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso del Porto, 281;Sassari
MFZ292;VTLFNC77H61H501X;Acque Chiare Servizi Srl di Marco Rossi;Piazza Mazzini, 281;Roma
MGH462;BRNNNA94H47L424I;Idrogest Italia SpA di Paolo De Luca;Via dell'Acquedotto, 24;Trieste
MGO988;SNTCRN67C45I452D;Idro Distribuzione Italiana SpA di Luca Russo;Via Europa, 78;Sassari
MJE294;MRNLRA95E50H294P;Gestione Idrica Integrata SpA di Francesco Bianchi;Via della Costituzione, 260;Rimini
MJV994;MNTLSN83R50L049Y;Acque Chiare Servizi Srl di Marco Rossi;Via Colombo, 238;Taranto
MJZ805;NREGLI84A49D548W;Idro Distribuzione Italiana SpA di Luca Russo;Via IV Novembre, 107;Ferrara
MKA167;BRNCHR75R53A285L;Idro Distribuzione Italiana SpA di Luca Russo;Viale Santa Maria, 100;Andria
MKH115;CNTMHL73H11A952L;BluFonte Distribuzione SpA di Giovanni Greco;Via Dante, 250;Bolzano
MKK043;RSSNTN45L09A285N;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Roma, 243;Andria
MKN301;PNIMHL96B02F839Z;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Cavour, 37;Napoli
MKY869;CNTNGL88M63L117C;Cristallina Acque Srl di Giulia Moretti;Via Europa, 136;Terni
MLP113;LMBCHR46A49I452Q;Servizi Idrici del Nord Srl di Stefano Bruno;Via dei Mille, 290;Sassari
MLU419;GLLLSN60P58A390V;Acque Chiare Servizi Srl di Marco Rossi;Via Dante, 185;Arezzo
MMU679;GRCMHL75T05H530U;BluAcqua Forniture Srl di Giuseppe Esposito;Corso della Pace, 298;Reggio Emilia
MNE885;CLMLCU71R53L219Q;Acque Chiare Servizi Srl di Marco Rossi;Via San Giovanni, 225;Torino
MOU021;BRNPLA64E11G224D;Acque del Sud Italia SpA di Elena Giordano;Viale Nazionale, 206;Padova
MQV638;RCCVNT78L51G482H;Acqua & Territorio SpA di Davide Gallo;Corso Vittorio Emanuele, 168;Pescara
MRD410;RNLCRL61P23A285W;Rete Idrica Nazionale SpA di Matteo Colombo;Via IV Novembre, 155;Andria
MRY592;LNESRA49T43B354N;Servizi Idrici del Nord Srl di Stefano Bruno;Via Matteotti, 173;Cagliari
MSA207;FNTFNC53M51D704F;Servizi Idrici del Nord Srl di Stefano Bruno;Via Roma, 116;Forlì
MSC691;NRESLV98S49L781J;Gestione Idrica Integrata SpA di Francesco Bianchi;Via del Commercio, 265;Verona
MSK935;CLMMHL76T01L049S;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Cavour, 160;Taranto
MSX272;CRSMRC66T03A271G;AcquaPura Italia Srl di Maria Costa;Corso Marconi, 48;Ancona
MTC969;SLVSRA91B50H703O;PureFlow Idrica Srl di Alessandro Ricci;Via delle Scienze, 227;Salerno
MTF194;MRTLNE86H63D612H;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Garibaldi, 66;Firenze
MTS061;BRBPLA68P68H294N;Cristallina Acque Srl di Giulia Moretti;Viale Italia, 217;Rimini
MTY659;DNGRRT69P64G224N;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Vittorio Emanuele, 170;Padova
MUE522;RCCLCU48M58G478V;Idro Distribuzione Italiana SpA di Luca Russo;Via dei Mille, 233;Perugia
MUE776;GRCMRC67M05A271U;Idroservice Nazionale SpA di Sara Rizzo;Via Dante, 148;Ancona
MUJ633;DNGMNC82M59A662E;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 171;Bari
MUV093;GRSLRT49T25G224V;Idrogest Italia SpA di Paolo De Luca;Via delle Scienze, 299;Padova
MVH022;MRTNGL90D42H199G;Acque del Sud Italia SpA di Elena Giordano;Via Europa, 67;Ravenna
MWA252;CLMBBR61C53L219T;BluFonte Distribuzione SpA di Giovanni Greco;Via del Commercio, 160;Torino
MWA615;NRESLV74S57D643R;BluAcqua Forniture Srl di Giuseppe Esposito;Via IV Novembre, 215;Foggia
MWC068;RCCFNC63H65A285S;Idro Distribuzione Italiana SpA di Luca Russo;Via Roma, 218;Andria
MWS208;RCCMHL79E25G482D;Idroservice Nazionale SpA di Sara Rizzo;Via del Commercio, 290;Pescara
MWS360;VTLCML46M62F952O;PureFlow Idrica Srl di Alessandro Ricci;Corso XX Settembre, 30;Novara
MWU345;RCCFRC53T48H294J;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Marconi, 238;Rimini
MWV534;LNELCU45S61F704V;BluAcqua Forniture Srl di Giuseppe Esposito;Corso della Pace, 39;Monza
MXI484;LNGRCR65L01C352K;Idro Distribuzione Italiana SpA di Luca Russo;Via del Commercio, 201;Catanzaro
MXQ532;CPPMRC95C14I754V;Servizi Idrici del Nord Srl di Stefano Bruno;Via IV Novembre, 82;Siracusa
MXU077;FRRCML87R43D548X;BluFonte Distribuzione SpA di Giovanni Greco;Corso Marconi, 146;Ferrara
MYY301;MRCLSE89C43A794Q;Rete Idrica Nazionale SpA di Matteo Colombo;Via dell'Acquedotto, 228;Bergamo
MZN809;CRSRRT66S46H224X;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Costituzione, 198;Reggio Calabria
NAA655;PNIGNN62H18D969X;Gestione Idrica Integrata SpA di Francesco Bianchi;Via dell'Acquedotto, 147;Genova
NAR372;MRTNRC45A06F704D;Rete Idrica Nazionale SpA di Matteo Colombo;Via dell'Acquedotto, 196;Monza
NAV767;SPSNNA46L55G535O;Servizi Idrici del Nord Srl di Stefano Bruno;Via dei Mille, 164;Piacenza
NBK796;MRNMTT64P19B354K;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via dei Mille, 207;Cagliari
NCR506;CSTVNT86P46F257U;Idro Distribuzione Italiana SpA di Luca Russo;Via San Giovanni, 23;Modena
NCU060;VLLMRA65L49L117T;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Dante, 25;Terni
NCU384;GRSPLA69P65F257L;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Matteotti, 9;Modena
NCV938;FNTNDR47L16L483S;Idroservice Nazionale SpA di Sara Rizzo;Via Roma, 13;Udine
NDZ045;SPSLRT72H05B354S;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Costituzione, 253;Cagliari
NEG586;MRNPLA97L49H530Z;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Vittorio Emanuele, 218;Reggio Emilia
NEM711;GRDPLA94S54A390W;Servizi Idrici del Nord Srl di Stefano Bruno;Via Colombo, 88;Arezzo
NFJ136;CNTMNC46H48L219D;BluAcqua Forniture Srl di Giuseppe Esposito;Viale delle Industrie, 41;Torino
NFJ223;MNTTRS46B67L736S;BluFonte Distribuzione SpA di Giovanni Greco;Via Matteotti, 23;Venezia
NFO768;GLLMRC86B15D612L;Acqua & Territorio SpA di Davide Gallo;Viale Santa Maria, 119;Firenze
NFP926;BRNMSM74C27L781Y;Acqua & Territorio SpA di Davide Gallo;Viale delle Industrie, 278;Verona
NFY656;CSTCST83L59H199D;Acque del Sud Italia SpA di Elena Giordano;Viale Nazionale, 251;Ravenna
NGX362;CNTMRA98A58F704H;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via del Commercio, 138;Monza
NHO233;FRRSLV53L48D704X;Sorgenti d'Italia Srl di Roberto Marino;Via delle Scienze, 237;Forlì
NIB752;RNLRCR58R09B157H;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Garibaldi, 153;Brescia
NIH553;RCCLCU98D13L781B;Idro Distribuzione Italiana SpA di Luca Russo;Viale della Repubblica, 210;Verona
NIH570;RZZNNA62E66G999L;PureFlow Idrica Srl di Alessandro Ricci;Via Roma, 85;Prato
NIY569;MNTLNE91H52I452A;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso del Porto, 194;Sassari
NKA600;SRRCRN67M55D643R;Acque Chiare Servizi Srl di Marco Rossi;Viale Italia, 48;Foggia
NKI188;SLVNDR55D07C352B;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 185;Catanzaro
NKI805;SLVGLI78H48L781W;BluAcqua Forniture Srl di Giuseppe Esposito;Via Matteotti, 254;Verona
NKN793;RLNDVD90P17H501N;AcquaPura Italia Srl di Maria Costa;Corso della Pace, 85;Roma
NKX741;GLLCHR83E42H294G;Idrogest Italia SpA di Paolo De Luca;Corso del Porto, 147;Rimini
NMI384;GRCFRC60D51C351P;Servizi Idrici del Nord Srl di Stefano Bruno;Via Matteotti, 6;Catania
NMI903;GRSNGL90D59C351V;Acqua & Territorio SpA di Davide Gallo;Corso Garibaldi, 39;Catania
NMS134;MRNGNN64M06G337X;Idroservice Nazionale SpA di Sara Rizzo;Viale Santa Maria, 143;Parma
NMT246;LMBNGL62M44F257F;Servizi Idrici del Nord Srl di Stefano Bruno;Via Matteotti, 139;Modena
NNR240;CSTTRS60R53C573Q;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale delle Industrie, 246;Cesena
NNW299;RCCNGL66E44G535C;Acque del Sud Italia SpA di Elena Giordano;Corso XX Settembre, 260;Piacenza
NNZ688;GLLMNC95P64G337L;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Marconi, 211;Parma
NOD157;SRRMRA81E57E506K;Rete Idrica Nazionale SpA di Matteo Colombo;Via del Commercio, 169;Lecce
NOI347;GRSLCU97B27C351L;Servizi Idrici del Nord Srl di Stefano Bruno;Viale Italia, 299;Catania
NOP745;FNTGNN79H51D548K;Sorgenti d'Italia Srl di Roberto Marino;Via San Giovanni, 33;Ferrara
NOU097;BNCTRS59H63D643O;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Cavour, 79;Foggia
NOV815;FRRRRT58T10C573S;Fonti Chiare Distribuzione Srl di Laura Mancini;Via del Commercio, 157;Cesena
NOX334;SPSGNN72C60D643I;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Cavour, 83;Foggia
NPA361;DLCLRA86H43F839N;Servizi Idrici del Nord Srl di Stefano Bruno;Viale Santa Maria, 123;Napoli
NPG710;GRSCRN73L66G999N;Acqua & Territorio SpA di Davide Gallo;Via Matteotti, 121;Prato
NPV838;DLCCLD57P51G224E;Sorgenti d'Italia Srl di Roberto Marino;Piazza Mazzini, 135;Padova
NPY278;PNISRG46L03L117S;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Vittorio Emanuele, 85;Terni
NQG708;NRELSE59T60H501G;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via IV Novembre, 207;Roma
NQM910;BRBRRT60A21A952G;Sorgenti d'Italia Srl di Roberto Marino;Via San Giovanni, 75;Bolzano
NRH809;RLNLCU58T22C573Q;Idroservice Nazionale SpA di Sara Rizzo;Corso Marconi, 94;Cesena
NRN404;RZZLSE67C60H294R;PureFlow Idrica Srl di Alessandro Ricci;Via Roma, 241;Rimini
NRW149;MRTDVD65E06L483O;PureFlow Idrica Srl di Alessandro Ricci;Via San Giovanni, 195;Udine
NSL377;GNTMRA95A55H530B;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Roma, 70;Reggio Emilia
NTJ559;SNTNDR47L20H294Z;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Verdi, 203;Rimini
NTT357;DLCRRT81C26G535O;Idro Distribuzione Italiana SpA di Luca Russo;Corso Garibaldi, 277;Piacenza
NTU600;DSNDVD48L01B157B;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Cavour, 9;Brescia
NTX133;FRRGNN61M14A794A;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso XX Settembre, 295;Bergamo
NVP235;MRNGRG83M01B157I;Acque del Sud Italia SpA di Elena Giordano;Corso dell'Artigianato, 99;Brescia
NVZ492;LNEMSM81B08G482Z;Idrogest Italia SpA di Paolo De Luca;Viale delle Industrie, 120;Pescara
NWL863;CPPRSO54E59G482Q;Rete Idrica Nazionale SpA di Matteo Colombo;Viale della Repubblica, 149;Pescara
NWQ036;RSSLCU68S57F205Y;Idroservice Nazionale SpA di Sara Rizzo;Corso Marconi, 167;Milano
NXI848;LNGNTN63S13L736A;Acqua & Territorio SpA di Davide Gallo;Corso Garibaldi, 99;Venezia
NYF359;CNTCHR45M50D704F;Rete Idrica Nazionale SpA di Matteo Colombo;Via della Costituzione, 171;Forlì
NYI163;FRRCRN84T52G273D;BluAcqua Forniture Srl di Giuseppe Esposito;Viale della Repubblica, 227;Palermo
NYO528;GRDFRC59R66D548O;Sorgenti d'Italia Srl di Roberto Marino;Via Dante, 43;Ferrara
NYS121;RLNMTT86P17A285A;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso dell'Artigianato, 208;Andria
NYZ053;LNGGLI68P06D969M;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Santa Maria, 294;Genova
NZK565;SNTLRT78S15C352R;Acqua & Territorio SpA di Davide Gallo;Viale dei Lavoratori, 151;Catanzaro
NZM860;CNTRSL66P58L424V;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Matteotti, 292;Trieste
OAN998;MRCCLD87A61I754R;Acquedotto Peninsulare SpA di Lorenzo Conti;Via IV Novembre, 179;Siracusa
OAO375;SNTFRC64T54A794G;Rete Idrica Nazionale SpA di Matteo Colombo;Viale delle Industrie, 275;Bergamo
